text,isAddress,block_num,left_top,right_bot
Page 1/1,0,0,"(1518, 37)","(1635, 71)"
DELIVERY ORDER,0,0,"(620, 53)","(1083, 113)"
"Leesa Customs Brokerage Inc 9040 Telstar Avenue, Suite 112-115 El Monte, CA 91731 626-522-1821",1,0,"(574, 144)","(1128, 287)"
"AMAYA TRADING LLC 70 S VAL VISTA DR  STE A3-428  GILBERT, AZ 85296-0931",1,1,"(215, 376)","(555, 494)"
DATE OUR REF. NO.  11/09/22 0027120  THE MERCHANDISE DESCRIBED BELOW WILL BE ENTERED AND/OR FORWARDED AS FOLLOWS:,0,3,"(1049, 373)","(1565, 519)"
CARRIER EGLV COSCO SHPPING DENALI 029E  B/L OR AWB. NO. ARR./DEPT. DATE.  EGLV 100250269896 11/13/22 ,0,8,"(123, 555)","(650, 666)"
"LOCATION ORIGIN/DESTINATION PORT WAC8 LBCT LLC JAWAHARLAL NEHRU/LOS ANGELES, TOCAL DELIVERY OR TRANSFER BY (DELIVERY ORDER ISSUED TO:) NGL TRANSPORT  HOUSE NO. ENTRY-B/L NO. CUST. REF. NO. PGSM NSPLAX164904 8P5-0027120-7 p ore |  ROUTE",0,14,"(666, 555)","(1672, 750)"
"FOR DELIVERY TO  AMAYA TRADING (NEW DELIVER ADD) 1825 E GERMANN RD, SUITE 20 CHANDLER, AZ 85286  480-200-0093  ATTN: AMRISH MAGO",1,15,"(100, 720)","(645, 902)"
"NO. OF PKGS. DESCRIPTION OF ARTICLES, SPECIAL MARKS & EXCEPTIONS 4,370 | SACKS/BAGS PLASTIC ETHYLEN,OTH",0,21,"(115, 1020)","(1153, 1099)"
"WEIGHT bo Not 41,898 Lb",0,19,"(1368, 1013)","(1600, 1097)"
Container No. TRHU5678730,0,21,"(298, 1117)","(501, 1180)"
Container Size/Type 40 ft HC,0,21,"(549, 1110)","(820, 1180)"
Weight,0,21,"(850, 1117)","(956, 1157)"
Quantity,0,21,"(999, 1114)","(1122, 1157)"
Seal Nos.,0,21,"(1159, 1118)","(1291, 1152)"
PREPAID/COLLECT,0,22,"(570, 1747)","(740, 1771)"
INLAND FREIGHT,0,0,"(146, 1757)","(446, 1797)"
Received in Good Order By:,0,0,"(1034, 1750)","(1369, 1819)"
ORIGINAL DELIVERY ORDER,0,0,"(119, 1820)","(481, 1852)"
"Date: Time:  LIABILITY, INCLUDING NEGLIGENCE IS LIMITED TO THE SUM OF $50.00 PER SHIPMENT, UNLESS A GREATER VALUATION SHALL BE PAID FOR OR AGREED TO BE PAID IN WRITING PRIOR TO SHIPPING.",0,0,"(1035, 1834)","(1675, 1994)"
Celia Li  PER:,0,23,"(109, 1946)","(219, 1999)"
DELIVERY CLERK: DELIVER TO CARRIER SHOWN ABOVE,0,0,"(1032, 2041)","(1524, 2116)"
"NGL TRANSPORT, Phone:",0,0,"(845, 2126)","(1199, 2160)"
text,isAddress,block_num,left_top,right_bot
"Suite 1310 2 Pierce Place Itasca, IL 60143",1,0,"(781, 133)","(986, 253)"
,0,3,"(451, 186)","(623, 310)"
TEL: (630) 625-1670 FAX: (630) 625-1680,0,0,"(784, 289)","(1044, 371)"
"o , vs Slee",0,0,"(451, 323)","(607, 373)"
Release Order,0,0,"(720, 429)","(982, 473)"
SHIPPER  TRUE VALUE COMPANY 8600 W BRYN MAWR AVE CHICAGO IL 60631 UNITED STATES,1,5,"(177, 478)","(563, 608)"
DATE 09-NOV-22,0,0,"(1015, 478)","(1143, 536)"
OUR REF NO BCHIIS221055998,0,0,"(1271, 478)","(1471, 536)"
THE MERCHANDISE DESCRIBED BELOW WILL BE ENTERED AND FORWARDED AS FOLLOWS,0,0,"(977, 560)","(1431, 636)"
